PAL	USA	JAP	KOR	Symbol
8062c3a4	805fb4f0	8062baf0	8061a79c	Patch_SceneBuildPages
80630094	805ff1e0	8062f7e0	8061e48c	Patch_SceneShowBasePages
806316c4	80600810	80630e10	8061fabc	Patch_MainMenuKind
80631a58	80600ba4	806311a4	8061fe50	Patch_SceneHasBackModel
80631c68	80600db4	806313b4	80620060	Patch_SceneGetBGM
80631ef8	80601044	80631644	806202f0	Patch_SceneGetBGMGroup
808c0998	808bc378	808bfae8	808aee08	Patch_EventExplanationPage_Events
808c0a9c	808bc47c	808bfbec	808aef0c	Patch_EventExplanationPage_vtable
80665958	806735a8	80664fc4	80653c70	Patch_EventExplanationVolumeChange
8085b444	808399b4	8085aab0	80849804	Patch_HudWatchReplayCase
8085b48c	808399fc	8085aaf8	8084984c	Patch_QuitReplayCase
8085a67c	80838bec	80859ce8	80848a3c	Patch_ChangeMissionCase
807ea2b4	807e0a08	807e9920	807d8674	Patch_2DMapCharaSizeFix
805d1e00	80628468	805d16dc	805bff9c	Patch_WiiWheelOnlyPage
805eb934	80632c0c	805eb210	805d9ad0	Patch_LicenseSelect
805eadc8	806320a0	805ea6a4	805d8f64	Patch_LicenseSelectOptions
805eddd4	806350ac	805ed6b0	805dbf70	Patch_LicenseSettingsBack
8081d020	8080a274	8081c68c	8080b3e0	Patch_CharacterSelectUnlock
8081cfb4	8080a208	8081c620	8080b374	Patch_VehicleSelectUnlock
80622208	805f1354	80621954	80610600	Patch_BGUnloadSoundFix
8063adc8	80609a28	8063a4b4	80629160	Patch_TitleScreenOnIn
8063b04c	80609cac	8063a738	806293e4	Patch_TitleScreenToOut
8085783c	80835dac	80856ea8	80845bfc	Patch_ControlKindCheck_RaceFinishReset
808569bc	80834f2c	80856028	80844d7c	Patch_ControlKindCheck_onPause
80859ec4	80838434	80859530	80848284	Patch_ControlKindCheck_PauseUpdate
8052fe10	8052b2c8	8052f790	8051de68	Patch_SetupReplayInputCall
80521820	8051d3ac	805211a0	8050f844	Patch_ReplayRearview
80534588	8052fa40	80533f08	805225e0	Patch_NoRandomFinishTime
80712448	8070a9a4	80711ab4	807007f0	Patch_ResultMusic
8066cb4c	806653e8	8066c1b8	8065aea4	Patch_Nwc24DlManager_init
8066c8d8	80665174	8066bf44	8065ac30	Patch_Nwc24DlManager_CheckForCompetition
8066ca64	80665300	8066c0d0	8065adbc	Patch_Nwc24DlManager_GetCompetitionText
80676548	8066ede4	80675bb4	806648a8	Patch_Nwc24DlManager_GetLdbTimeRank
80676990	8066f22c	80675ffc	80664cf0	Patch_Nwc24DlManager_InsertTimeInLdb
806766b4	8066ef50	80675d20	80664a14	Patch_Nwc24DlManager_GetLdbEntry
8085e024	8085b994	8085d690	8084c3e4	Patch_SaveTournamentGhost
801a162c	801a158c	801a154c	801a1988	DCFlushRange
801aaca8	801aac08	801aabc8	801ab004	OSSleepTicks
801a25d0	801a2530	801a24f0	801a292c	OSReport
801a4ec4	801a4e24	801a4de4	801a5220	OSFatal
80011a2c	80010ecc	80011950	80011a94	sprintf
80011938	80010dd8	8001185c	800119a0	snprintf
80021254	800206f4	80021178	800212bc	strlen
8001329c	8001273c	800131c0	80013304	strcmp
80006038	80006038	80006038	80006038	memset
8000f1f0	8000e690	8000f114	8000f258	memmove
80005f34	80005f34	80005f34	80005f34	memcpy
80017814	80016cb4	80017738	8001787c	swprintf
80017998	80016e38	800178bc	80017a00	wcslen
80021450	800208f0	80021374	800214b8	__ptmf_scall
80020ff4	80020494	80020f18	8002105c	__construct_array
800210ec	8002058c	80021010	80021154	__destroy_arr
80021338	800207d8	8002125c	800213a0	__register_global_object
80021590	80020a30	800214b4	800215f8	_savegpr_23
80021594	80020a34	800214b8	800215fc	_savegpr_24
80021598	80020a38	800214bc	80021600	_savegpr_25
8002159c	80020a3c	800214e0	80021604	_savegpr_26
